T	=	12	;
R	=	530	;
U	=	50	;
S	=	50	;
L	=	5	;
levU	=	[	4	5	1	3	3	1	3	2	2	1	1	1	2	1	1	1	3	2	1	2	2	4	1	1	1	1	1	1	1	1	1	1	1	5	1	2	1	2	1	1	2	4	1	1	2	1	2	1	1	1 ];
levS	=	[	4	1	5	1	1	3	5	1	1	4	1	1	2	4	2	2	1	1	1	2	1	1	1	2	2	1	1	2	2	3	2	1	1	2	2	1	1	4	1	2	3	3	1	2	1	1	3	3	2	2 ];
d	=	[	4	1	4	12	12	7	1	12	2	3	12	2	1	3	2	12	7	12	12	1	12	1	12	1	1	1	12	3	3	3	1	1	12	1	12	3	12	12	12	4	2	3	4	1	1	3	1	12	1	1 ];
rd	=	[	8	12	2	1	1	2	11	1	6	2	1	3	3	8	5	1	6	1	1	3	1	9	1	2	2	2	1	1	6	1	2	7	1	2	1	1	1	1	1	4	9	2	9	9	7	2	6	1	12	12 ];
dd	=	[	11	12	12	12	12	11	11	12	11	10	12	12	6	12	12	12	12	12	12	8	12	9	12	7	5	8	12	8	9	11	9	8	12	12	12	6	12	12	12	7	11	11	12	11	12	9	8	12	12	12 ];
O	=	[	2235000.0000	535000.0000	149000.0000	1637000.0000	1757000.0000	262000.0000	130000.0000	848000.0000	135000.0000	117000.0000	773000.0000	141000.0000	70000.0000	103000.0000	128000.0000	396000.0000	1116000.0000	984000.0000	861000.0000	138000.0000	1716000.0000	526000.0000	872000.0000	35000.0000	36000.0000	68000.0000	835000.0000	228000.0000	225000.0000	199000.0000	65000.0000	65000.0000	485000.0000	604000.0000	508000.0000	215000.0000	870000.0000	888000.0000	395000.0000	137000.0000	284000.0000	1713000.0000	268000.0000	36000.0000	65000.0000	201000.0000	75000.0000	409000.0000	39000.0000	37000.0000 ];
v	=	[	219.0000	130.0000	150.0000	48.0000	121.0000	179.0000	73.0000	266.0000	255.0000	46.0000	214.0000	188.0000	199.0000	69.0000	66.0000	186.0000	265.0000	189.0000	214.0000	212.0000	81.0000	300.0000	277.0000	84.0000	80.0000	127.0000	253.0000	243.0000	115.0000	145.0000	62.0000	200.0000	121.0000	84.0000	84.0000	44.0000	153.0000	59.0000	183.0000	250.0000	285.0000	141.0000	38.0000	30.0000	82.0000	134.0000	133.0000	52.0000	169.0000	73.0000 ];
SFT	=	[	2.2E7	4.2E7	8.5E7	1.65E8	3.25E8 ];
FF	=	[	1.1E7	2.1E7	4.25E7	8.25E7	1.625E8 ];
MaxP	=	[	619000.0	1169000.0	2369000.0	4588999.999999999	9029000.0 ];
C	=	[[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
];
demand	=	[[	183.00	2.00	74.00	13.00	251.00	262.00	312.00	1046.00	139.00	1600.00	1025.00	565.00	]
[	37.00	24.00	0.00	18.00	10.00	1.00	42.00	101.00	75.00	65.00	200.00	110.00	]
[	566.00	136.00	61.00	186.00	273.00	164.00	1249.00	1112.00	2942.00	2391.00	1801.00	2336.00	]
[	7.00	20.00	33.00	22.00	9.00	32.00	21.00	104.00	97.00	200.00	49.00	198.00	]
[	25.00	30.00	1.00	21.00	4.00	4.00	53.00	150.00	126.00	2.00	96.00	200.00	]
[	23.00	23.00	26.00	140.00	125.00	94.00	283.00	538.00	431.00	342.00	800.00	800.00	]
[	623.00	422.00	118.00	118.00	574.00	385.00	1080.00	2415.00	2619.00	2067.00	543.00	947.00	]
[	21.00	26.00	35.00	22.00	14.00	4.00	21.00	115.00	133.00	6.00	200.00	0.00	]
[	16.00	17.00	30.00	33.00	9.00	8.00	52.00	93.00	46.00	200.00	200.00	200.00	]
[	37.00	286.00	318.00	95.00	131.00	304.00	86.00	132.00	388.00	598.00	1600.00	585.00	]
[	33.00	22.00	6.00	36.00	13.00	36.00	45.00	25.00	119.00	120.00	61.00	200.00	]
[	31.00	7.00	18.00	34.00	7.00	34.00	23.00	148.00	152.00	164.00	200.00	147.00	]
[	11.00	19.00	20.00	51.00	26.00	44.00	76.00	2.00	374.00	81.00	397.00	64.00	]
[	173.00	8.00	150.00	252.00	10.00	284.00	595.00	1099.00	566.00	1600.00	970.00	1600.00	]
[	52.00	51.00	24.00	62.00	38.00	72.00	60.00	261.00	390.00	96.00	400.00	400.00	]
[	4.00	8.00	54.00	75.00	65.00	55.00	59.00	290.00	226.00	400.00	400.00	146.00	]
[	13.00	0.00	12.00	7.00	22.00	28.00	21.00	14.00	112.00	101.00	200.00	79.00	]
[	21.00	17.00	38.00	9.00	22.00	32.00	37.00	73.00	122.00	200.00	92.00	90.00	]
[	27.00	30.00	34.00	11.00	32.00	3.00	22.00	127.00	128.00	128.00	127.00	70.00	]
[	53.00	4.00	7.00	41.00	6.00	67.00	57.00	58.00	351.00	262.00	52.00	302.00	]
[	33.00	2.00	8.00	31.00	4.00	29.00	79.00	80.00	44.00	186.00	200.00	38.00	]
[	4.00	10.00	23.00	11.00	12.00	29.00	30.00	150.00	77.00	200.00	124.00	200.00	]
[	32.00	8.00	8.00	10.00	15.00	13.00	45.00	59.00	175.00	19.00	104.00	191.00	]
[	19.00	14.00	43.00	53.00	64.00	33.00	25.00	258.00	267.00	357.00	396.00	258.00	]
[	24.00	24.00	47.00	21.00	10.00	63.00	131.00	297.00	24.00	234.00	400.00	304.00	]
[	17.00	15.00	1.00	7.00	20.00	5.00	41.00	67.00	24.00	91.00	132.00	62.00	]
[	7.00	6.00	28.00	2.00	28.00	27.00	37.00	13.00	81.00	137.00	200.00	3.00	]
[	40.00	21.00	76.00	10.00	26.00	17.00	66.00	170.00	373.00	400.00	173.00	3.00	]
[	48.00	23.00	54.00	50.00	65.00	69.00	20.00	135.00	366.00	400.00	350.00	400.00	]
[	27.00	60.00	91.00	59.00	95.00	18.00	29.00	47.00	105.00	800.00	189.00	59.00	]
[	17.00	69.00	49.00	42.00	51.00	30.00	45.00	149.00	174.00	400.00	400.00	370.00	]
[	32.00	4.00	24.00	38.00	15.00	24.00	48.00	6.00	107.00	200.00	197.00	200.00	]
[	16.00	35.00	28.00	13.00	39.00	27.00	15.00	78.00	39.00	200.00	154.00	195.00	]
[	14.00	55.00	78.00	50.00	45.00	19.00	70.00	20.00	245.00	322.00	372.00	400.00	]
[	60.00	65.00	65.00	18.00	33.00	45.00	150.00	173.00	309.00	249.00	350.00	262.00	]
[	26.00	4.00	19.00	36.00	38.00	38.00	51.00	31.00	34.00	189.00	73.00	200.00	]
[	35.00	19.00	18.00	25.00	8.00	25.00	46.00	71.00	46.00	75.00	28.00	184.00	]
[	39.00	38.00	113.00	214.00	213.00	266.00	533.00	474.00	311.00	1600.00	1600.00	1061.00	]
[	9.00	8.00	11.00	38.00	37.00	20.00	75.00	49.00	151.00	80.00	200.00	124.00	]
[	73.00	38.00	28.00	14.00	10.00	65.00	74.00	55.00	398.00	400.00	400.00	8.00	]
[	108.00	146.00	37.00	36.00	99.00	146.00	290.00	497.00	674.00	681.00	244.00	800.00	]
[	137.00	106.00	14.00	148.00	2.00	130.00	44.00	117.00	792.00	252.00	713.00	506.00	]
[	7.00	31.00	2.00	13.00	33.00	30.00	10.00	74.00	24.00	200.00	5.00	116.00	]
[	17.00	28.00	28.00	31.00	75.00	47.00	87.00	23.00	266.00	228.00	12.00	400.00	]
[	20.00	18.00	38.00	34.00	28.00	8.00	77.00	76.00	16.00	200.00	200.00	200.00	]
[	26.00	26.00	23.00	24.00	31.00	7.00	7.00	14.00	60.00	200.00	48.00	135.00	]
[	136.00	155.00	146.00	39.00	159.00	57.00	10.00	513.00	178.00	800.00	127.00	800.00	]
[	42.00	71.00	75.00	48.00	61.00	55.00	211.00	256.00	61.00	800.00	5.00	52.00	]
[	49.00	69.00	50.00	27.00	48.00	32.00	125.00	57.00	309.00	400.00	123.00	130.00	]
[	10.00	31.00	36.00	64.00	45.00	62.00	93.00	228.00	386.00	365.00	400.00	163.00	]
];
