T	=	8	;
R	=	86	;
U	=	25	;
S	=	25	;
L	=	5	;
levU	=	[	1	1	1	1	1	3	2	3	3	3	2	2	2	1	1	4	2	2	1	2	3	2	1	3	3 ];
levS	=	[	2	1	1	2	1	1	1	1	2	2	1	2	1	1	2	1	2	1	1	1	2	3	3	3	2 ];
d	=	[	3	8	8	2	5	8	3	8	6	1	1	1	8	8	1	8	1	8	1	8	1	1	5	1	2 ];
rd	=	[	5	1	1	3	4	1	4	1	2	1	8	4	1	1	8	1	8	1	8	1	7	3	2	5	3 ];
dd	=	[	8	8	8	7	8	8	8	8	7	4	8	6	8	8	8	8	8	8	8	8	8	3	7	5	8 ];
O	=	[	109000.0000	328000.0000	303000.0000	73000.0000	386000.0000	1350000.0000	208000.0000	1254000.0000	960000.0000	252000.0000	69000.0000	76000.0000	564000.0000	293000.0000	33000.0000	3729000.0000	136000.0000	577000.0000	38000.0000	688000.0000	167000.0000	80000.0000	191000.0000	158000.0000	493000.0000 ];
v	=	[	72.0000	252.0000	233.0000	227.0000	79.0000	218.0000	30.0000	68.0000	18.0000	128.0000	105.0000	113.0000	236.0000	146.0000	171.0000	180.0000	190.0000	57.0000	258.0000	74.0000	283.0000	264.0000	211.0000	255.0000	143.0000 ];
SFT	=	[	2.2E7	4.2E7	8.5E7	1.65E8	3.25E8 ];
FF	=	[	1.1E7	2.1E7	4.25E7	8.25E7	1.625E8 ];
MaxP	=	[	619000.0	1169000.0	2369000.0	4588999.999999999	9029000.0 ];
C	=	[[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
[	10000.00	20000.00	50000.00	110000.00	220000.00	]
];
demand	=	[[	41.00	61.00	49.00	40.00	47.00	60.00	85.00	287.00	]
[	7.00	13.00	20.00	5.00	10.00	14.00	64.00	37.00	]
[	23.00	33.00	17.00	24.00	22.00	39.00	60.00	87.00	]
[	3.00	42.00	2.00	35.00	79.00	27.00	131.00	49.00	]
[	5.00	39.00	33.00	35.00	20.00	4.00	4.00	52.00	]
[	0.00	37.00	4.00	38.00	3.00	8.00	54.00	95.00	]
[	21.00	13.00	15.00	12.00	15.00	22.00	1.00	135.00	]
[	9.00	14.00	31.00	3.00	1.00	12.00	72.00	62.00	]
[	38.00	17.00	23.00	66.00	29.00	6.00	31.00	275.00	]
[	59.00	64.00	76.00	1.00	77.00	13.00	147.00	121.00	]
[	25.00	9.00	9.00	7.00	38.00	19.00	60.00	75.00	]
[	70.00	75.00	19.00	57.00	22.00	75.00	71.00	238.00	]
[	3.00	38.00	21.00	23.00	16.00	25.00	69.00	107.00	]
[	15.00	11.00	24.00	7.00	13.00	31.00	65.00	104.00	]
[	38.00	18.00	1.00	29.00	49.00	26.00	49.00	240.00	]
[	16.00	39.00	0.00	35.00	16.00	34.00	11.00	53.00	]
[	44.00	28.00	15.00	14.00	6.00	6.00	135.00	122.00	]
[	38.00	31.00	34.00	4.00	3.00	26.00	48.00	61.00	]
[	9.00	26.00	28.00	18.00	34.00	27.00	71.00	120.00	]
[	13.00	7.00	30.00	34.00	17.00	14.00	31.00	28.00	]
[	30.00	30.00	4.00	34.00	1.00	2.00	54.00	262.00	]
[	131.00	130.00	101.00	159.00	35.00	108.00	146.00	456.00	]
[	92.00	58.00	12.00	18.00	142.00	72.00	318.00	232.00	]
[	12.00	70.00	71.00	137.00	55.00	143.00	168.00	152.00	]
[	27.00	36.00	32.00	41.00	49.00	19.00	81.00	190.00	]
];
